block_size_x,block_size_y,nvml_pwr_limit,sm__warps_active.avg.pct_of_peak_sustained_active,sm__sass_inst_executed_op_shared_ld.avg.per_cycle_active,time,times,nvml_power,nvml_energy,compile_time,verification_time,benchmark_time,Joules/token,SM_Utilization,strategy_time,framework_time,timestamp,label,batch_size,seq_len,nhead,dim_per_head
2,16,150,2.083333333333333,0.026779327007437202,0.00899200008383819,"[0.003903999924659729, 0.013856000266969204, 0.01065600011497736, 0.008736000396311283, 0.009184000082314014, 0.008576000109314919, 0.008031999692320824]",0,0,1218.6683299951255,0,747.6968485862017,0.0,2.083333333333333,0,56.3784665428102,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
2,16,165,2.083333333333333,0.02696641430959727,0.009485714403646333,"[0.004031999967992306, 0.0144640002399683, 0.010944000445306301, 0.009759999811649323, 0.00886400043964386, 0.009279999881982803, 0.009056000038981438]",0,0,1223.385376855731,0,713.7027489952743,0.0,2.083333333333333,0,56.64134677499533,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
2,16,185,2.083333333333333,0.026805015131863383,0.008873142967266696,"[0.004064000211656094, 0.013535999692976475, 0.010432000271975994, 0.008511999621987343, 0.008608000352978706, 0.008832000195980072, 0.008128000423312187]",0,0,1221.2536786682904,0,749.6907543390989,0.0,2.083333333333333,0,52.60503012686968,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
2,16,200,2.0833333333333335,0.026620152958540186,0.008973714230316026,"[0.003903999924659729, 0.013952000066637993, 0.010463999584317207, 0.009312000125646591, 0.008031999692320824, 0.00886400043964386, 0.008287999778985977]",0,0,1217.672219965607,0,747.5967821665108,0.0,2.0833333333333335,0,52.7601009234786,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
2,16,215,2.083333333333333,0.026868541866984466,0.008900571414934737,"[0.0038399999029934406, 0.013824000023305416, 0.0098879998549819, 0.009727999567985535, 0.00848000030964613, 0.008608000352978706, 0.007935999892652035]",0,0,1220.315172802657,0,758.3800521679223,0.0,2.083333333333333,0,60.26930920779705,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
2,16,235,2.0833333333333335,0.026712623869021974,0.00886399977441345,"[0.003903999924659729, 0.014015999622642994, 0.01027199998497963, 0.00863999966531992, 0.008031999692320824, 0.00902399979531765, 0.0081599997356534]",0,0,1225.2681590616703,0,756.5685510635376,0.0,2.0833333333333335,0,51.90575495362282,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
2,16,250,2.083333333333333,0.026857993772844185,0.00917028569217239,"[0.003936000168323517, 0.013120000250637531, 0.010239999741315842, 0.009184000082314014, 0.010367999784648418, 0.008927999995648861, 0.008415999822318554]",0,0,1224.108288064599,0,732.9549421556294,0.0,2.083333333333333,0,51.13628786057234,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
2,32,100,4.163764116441385,0.05315685827963615,0.009215999860316515,"[0.004095999989658594, 0.014208000153303146, 0.010591999627649784, 0.009631999768316746, 0.009247999638319016, 0.009056000038981438, 0.007679999805986881]",0,0,1226.793671026826,0,734.4098431058228,0.0,4.163764116441385,0,57.31634655967355,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
2,32,115,4.163805326648354,0.052910899538629756,0.008850285716887032,"[0.004000000189989805, 0.01375999953597784, 0.00979200005531311, 0.009312000125646591, 0.008576000109314919, 0.008671999908983707, 0.007840000092983246]",0,0,1225.5862089805305,0,762.2629418037832,0.0,4.163805326648354,0,51.58676020801067,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
2,32,135,4.163804525184622,0.05292571992583997,0.00901028567126819,"[0.003903999924659729, 0.01369599997997284, 0.01065600011497736, 0.01027199998497963, 0.0080960001796484, 0.008287999778985977, 0.0081599997356534]",0,0,1225.2920023165643,0,743.8871846534312,0.0,4.163804525184622,0,59.427991043776274,2025-04-04T18:20:31.150742,baseline,4,1024,16,256
