seq_len,batch_size,nhead,dim_per_head,block_x,block_y,thread_count,predicted_time_ns,actual_time_ns,predicted_power,actual_power,mem_coal,mem_uncoal,mem_partial,local_insts,shared_insts,synch_insts,fp_insts,int_insts,sfu_insts,alu_insts,total_insts,registers_per_thread,shared_mem_bytes
1024,4,16,256,16,8,128,3834895.782931799,35974.399372935295,44060353.90894004,98.512,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,16,16,256,7537983.50243277,45043.20025444031,43717800.15231816,100.022,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,16,32,512,15298106.190182744,67462.4003469944,44060353.90894004,100.612,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,16,64,1024,20705871.22382367,117312.00069189072,29602008.779236294,100.7455,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,32,1,32,626498.4270839912,34412.79977560043,28068855.30536331,96.372,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,32,2,64,1844530.897294256,37600.00057518482,41931904.63598055,96.429,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,32,4,128,3648733.383100738,42585.60091257095,41760627.757669605,96.317,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,32,8,256,7227672.009336059,56729.60057854653,41589350.87935866,96.487,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,32,16,512,14326604.587257288,91129.59951162338,41418074.00104772,97.073,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,32,32,1024,18940833.11254442,164985.6001138687,27497931.36985152,97.979,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,64,1,64,1874033.1940543056,35782.39977359772,42274458.39260242,96.365,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,64,2,128,3707714.009032566,42623.99971485138,42103181.51429149,96.228,0,0,12,0,1,6,4,16,1,183,223,32,0
1024,4,16,256,64,4,256,7345609.293611443,56864.00011181831,41931904.63598055,96.837,0,0,12,0,1,6,4,16,1,183,223,32,0
