Kernel,BlockX,BlockY,ThreadCount,GridX,GridY,DataSize,EstTime(ns),ActTime(ns),DiffTime(%),WarpsPerSM,PredictedPower(W),ActualPower(W),MemCoal,MemUncoal,MemPartial,LocalInsts,SharedInsts,SynchInsts,FpInsts,IntInsts,SfuInsts,AluInsts,TotalInsts,RegsPerThread,SharedMemBytes
matMul.cu,1,256,256,256,1,131072,24037150.99,218112.01,10920.55,8.00,191.96,54.52,0,11,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,2,128,256,256,1,131072,24037142.30,139168.00,17172.03,8.00,191.96,54.35,0,11,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,4,64,256,256,1,131072,24037124.92,86016.00,27844.95,8.00,191.96,53.78,1,10,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,8,32,256,256,1,131072,24037090.16,66560.00,36013.42,8.00,191.96,54.05,2,9,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,16,16,256,256,1,131072,24037020.64,61440.00,39022.76,8.00,191.96,53.90,5,6,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,32,8,256,256,1,131072,15354131.61,62256.00,24562.89,8.00,154.26,54.15,11,0,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,64,4,256,256,1,131072,18685019.22,68608.00,27134.46,8.00,168.71,54.56,11,0,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,128,2,256,256,1,131072,22015906.83,68608.00,31989.42,8.00,183.18,54.48,11,0,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,256,1,256,256,1,131072,24036881.60,68256.00,35115.78,8.00,191.96,54.44,11,0,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,1,512,512,256,1,131072,96118741.93,460288.00,20782.30,16.00,191.76,55.09,0,11,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,2,256,512,256,1,131072,96118733.24,221184.00,43356.46,16.00,191.76,54.91,0,11,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,4,128,512,256,1,131072,96118715.86,101888.00,94237.62,16.00,191.76,54.80,1,10,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,8,64,512,256,1,131072,96118681.10,90112.00,106565.79,16.00,191.76,54.94,2,9,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,16,32,512,256,1,131072,96118611.58,83072.00,115605.19,16.00,191.76,54.67,5,6,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,32,16,512,256,1,131072,54725798.42,80960.00,67496.10,16.00,146.79,54.64,11,0,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,64,8,512,256,1,131072,68049316.34,81920.00,82968.02,16.00,161.25,54.41,11,0,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,128,4,512,256,1,131072,81372834.26,79872.00,101779.05,16.00,175.73,54.48,11,0,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,256,2,512,256,1,131072,94696352.17,81872.00,115563.91,16.00,190.21,54.30,11,0,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,512,1,512,256,1,131072,96118472.53,67584.00,142120.75,16.00,191.76,54.30,11,0,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,1,1024,1024,256,1,131072,384445105.66,476159.99,80638.64,32.00,191.65,55.04,0,11,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,2,512,1024,256,1,131072,384445096.97,479744.00,80035.47,32.00,191.65,54.79,0,11,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,4,256,1024,256,1,131072,384445079.59,164816.00,233157.14,32.00,191.65,54.72,1,10,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,8,128,1024,256,1,131072,384445044.83,71168.00,540093.68,32.00,191.65,54.32,2,9,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,16,64,1024,256,1,131072,384444975.31,73104.00,525787.73,32.00,191.65,54.48,5,6,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,32,32,1024,256,1,131072,192227221.33,80288.00,239322.11,32.00,139.42,54.57,11,0,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,64,16,1024,256,1,131072,245521260.47,71680.00,342424.07,32.00,153.90,54.82,11,0,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,128,8,1024,256,1,131072,298815299.61,72704.00,410902.55,32.00,168.38,54.29,11,0,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,256,4,1024,256,1,131072,352109338.75,81920.00,429720.98,32.00,182.86,54.19,11,0,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,512,2,1024,256,1,131072,384444836.27,57264.00,671255.19,32.00,191.65,54.54,11,0,0,0,0,0,0,0,0,2,13,32,0
matMul.cu,1024,1,1024,256,1,131072,384444836.27,67424.00,570089.90,32.00,191.65,54.75,11,0,0,0,0,0,0,0,0,2,13,32,0
transpose.cu,1,32,32,256,1,131072,553563.44,56912.00,872.67,1.00,192.11,55.20,0,2,0,0,0,0,0,0,0,1,3,32,0
transpose.cu,2,16,32,256,1,131072,543812.31,55888.00,873.04,1.00,192.11,54.25,0,2,0,0,0,0,0,0,0,1,3,32,0
transpose.cu,4,8,32,256,1,131072,524310.03,58512.00,796.07,1.00,192.14,54.29,0,2,0,0,0,0,0,0,0,1,3,32,0
transpose.cu,8,4,32,256,1,131072,485305.49,56320.00,761.69,1.00,192.18,54.30,0,2,0,0,0,0,0,0,0,1,3,32,0
transpose.cu,16,2,32,256,1,131072,407302.69,48128.00,746.29,1.00,192.30,54.59,1,1,0,0,0,0,0,0,0,1,3,32,0
transpose.cu,32,1,32,256,1,131072,214204.71,57312.00,273.75,1.00,176.80,54.79,2,0,0,0,0,0,0,0,0,1,3,32,0
transpose.cu,1,64,64,256,1,131072,1097687.77,58928.00,1762.76,2.00,192.11,54.70,0,2,0,0,0,0,0,0,0,1,3,32,0
transpose.cu,2,32,64,256,1,131072,1078185.50,49152.00,2093.57,2.00,192.12,54.66,0,2,0,0,0,0,0,0,0,1,3,32,0
transpose.cu,4,16,64,256,1,131072,1039180.96,57344.00,1712.19,2.00,192.14,54.56,0,2,0,0,0,0,0,0,0,1,3,32,0
transpose.cu,8,8,64,256,1,131072,961171.87,58368.00,1546.74,2.00,192.19,54.59,0,2,0,0,0,0,0,0,0,1,3,32,0
transpose.cu,16,4,64,256,1,131072,805166.28,25648.00,3039.29,2.00,192.31,54.73,1,1,0,0,0,0,0,0,0,1,3,32,0
transpose.cu,32,2,64,256,1,131072,385429.34,48704.00,691.37,2.00,169.62,54.55,2,0,0,0,0,0,0,0,0,1,3,32,0
transpose.cu,64,1,64,256,1,131072,452459.94,48432.00,834.22,2.00,184.04,54.35,2,0,0,0,0,0,0,0,0,1,3,32,0
transpose.cu,1,128,128,256,1,131072,2185936.44,56528.00,3767.00,4.00,192.11,54.77,0,2,0,0,0,0,0,0,0,1,3,32,0
transpose.cu,2,64,128,256,1,131072,2146931.90,57344.00,3643.95,4.00,192.12,54.36,0,2,0,0,0,0,0,0,0,1,3,32,0
transpose.cu,4,32,128,256,1,131072,2068922.81,48752.00,4143.77,4.00,192.14,54.83,0,2,0,0,0,0,0,0,0,1,3,32,0
transpose.cu,8,16,128,256,1,131072,1912904.63,49152.00,3791.81,4.00,192.19,54.75,0,2,0,0,0,0,0,0,0,1,3,32,0
transpose.cu,16,8,128,256,1,131072,1600893.44,48128.00,3226.32,4.00,192.32,54.60,1,1,0,0,0,0,0,0,0,1,3,32,0
transpose.cu,32,4,128,256,1,131072,782936.57,57808.00,1254.37,4.00,162.28,54.51,2,0,0,0,0,0,0,0,0,1,3,32,0
transpose.cu,64,2,128,256,1,131072,934369.88,57344.00,1529.41,4.00,176.69,54.46,2,0,0,0,0,0,0,0,0,1,3,32,0
transpose.cu,128,1,128,256,1,131072,1085803.19,58368.00,1760.27,4.00,191.12,54.88,2,0,0,0,0,0,0,0,0,1,3,32,0
transpose.cu,1,256,256,256,1,131072,5492334.56,57200.00,9501.98,8.00,192.00,54.82,0,2,0,0,0,0,0,0,0,1,3,32,0
transpose.cu,2,128,256,256,1,131072,5492315.52,48128.00,11311.89,8.00,192.00,54.93,0,2,0,0,0,0,0,0,0,1,3,32,0
transpose.cu,4,64,256,256,1,131072,5492277.43,59344.00,9154.98,8.00,192.00,54.85,0,2,0,0,0,0,0,0,0,1,3,32,0
